name,type,nickname,isu_link,yeb,sum
Kevin AYMOZ,Men,kevin_aymoz,https://www.isuresults.com/bios/isufs00014227.htm,,
Aleksandr SELEVKO,Men,aleksandrselevko,https://www.isuresults.com/bios/isufs00054504.htm,,
Nika EGADZE,Men,nika_egadze,https://www.isuresults.com/bios/isufs00101375.htm,,
Yuzuru HANYU,Men,yuzuruofficial_,https://www.isuresults.com/bios/isufs00010967.htm,,
Lukas BRITSCHGI,Men,schluukas,https://www.isuresults.com/bios/isufs00054585.htm,,
Deniss VASILJEVS,Men,denissvasiljevs,https://www.isuresults.com/bios/isufs00011354.htm,,
Javier FERNANDEZ,Men,javierfernandezskater,https://www.isuresults.com/bios/isufs00007684.htm,TRUE,13456
Nikolaj MEMOLA,Men,nikolajmemola,https://www.isuresults.com/bios/isufs00104103.htm,,
Junhwan CHA,Men,jun_july_august,https://www.isuresults.com/bios/isufs00054719.htm,,
Mikhail KOLYADA,Men,mikhail_kolyada,https://www.isuresults.com/bios/isufs00013562.htm,,
Morisi KVITELASHVILI,Men,moriskvit,https://www.isuresults.com/bios/isufs00034232.htm,,
Vincent ZHOU,Men,govincentzhou,https://www.isuresults.com/bios/isufs00034362.htm,,
Patrick CHAN,Men,pchan31,https://www.isuresults.com/bios/isufs00007980.htm,TRUE,6544
Evgeni SEMENENKO,Men,evgeniy__semenenko,https://www.isuresults.com/bios/isufs00102767.htm,,
Daniel GRASSL,Men,daniel.grassl_official,https://www.isuresults.com/bios/isufs00035262.htm,,
Dmitri ALIEV,Men,dmitry_aliev,https://www.isuresults.com/bios/isufs00014956.htm,,
Gabriella PAPADAKIS,Dance,gabriellapapadakis,https://www.isuresults.com/bios/isufs00011507.htm,,
Guillaume CIZERON,Dance,guillaume_cizeron,https://www.isuresults.com/bios/isufs00011507.htm,,
Madison CHOCK,Dance,madisonchock,https://www.isuresults.com/bios/isufs00013665.htm,,
Evan BATES,Dance,evan_bates,https://www.isuresults.com/bios/isufs00013665.htm,,
Tessa VIRTUE,Dance,tessavirtue17,https://www.isuresults.com/bios/isufs00006989.htm,TRUE,22346
Scott MOIR,Dance,scottmoir14,https://www.isuresults.com/bios/isufs00006989.htm,TRUE,22346
Victoria SINITSINA,Dance,victoria_sinitsina,https://www.isuresults.com/bios/isufs00054477.htm,,
Nikita KATSALAPOV,Dance,nikita_katsalapov,https://www.isuresults.com/bios/isufs00054477.htm,,
Piper GILLES,Dance,pipergilles,https://www.isuresults.com/bios/isufs00034084.htm,,
Paul POIRIER,Dance,pauldpoirier,https://www.isuresults.com/bios/isufs00034084.htm,,
Vasilisa KAGANOVSKAIA,Dance,_kaganovskay_14,https://www.isuresults.com/bios/isufs00108957.htm,,
Maxim NEKRASOV,Dance,maxim_nekrasov_,https://www.isuresults.com/bios/isufs00101140.htm,,
Maia SHIBUTANI,Dance,maiashibutani,https://www.isuresults.com/bios/isufs00011168.htm,,
Alex SHIBUTANI,Dance,alexshibutani,https://www.isuresults.com/bios/isufs00011168.htm,,
Olivia SMART,Dance,oliviasmartx,https://www.isuresults.com/bios/isufs00117545.htm,,
Tim DIECK,Dance,tim.dieck,https://www.isuresults.com/bios/isufs00117545.htm,,
Charlene GUIGNARD,Dance,charleneguignard,https://www.isuresults.com/bios/isufs00012929.htm,,
Marco FABBRI,Dance,marcofabbri1988,https://www.isuresults.com/bios/isufs00012929.htm,,
Lilah FEAR,Dance,thelilahjoshow,https://www.isuresults.com/bios/isufs00101309.htm,,
Lewis GIBSON,Dance,lewisgibson4,https://www.isuresults.com/bios/isufs00101309.htm,,
Elizaveta PASECHNIK,Dance,elizaveta_pasechnikkk,https://www.isuresults.com/bios/isufs00107355.htm,,
Dario CIRISANO,Dance,dariochirizano,https://www.isuresults.com/bios/isufs00106328.htm,,
Diana DAVIS,Dance,di__davis,https://www.isuresults.com/bios/isufs00106170.htm,,
Gleb SMOLKIN,Dance,glebsmolkin7,https://www.isuresults.com/bios/isufs00106170.htm,,
Alexandra STEPANOVA,Dance,aleksandrastepanova,https://www.isuresults.com/bios/isufs00012117.htm,,
Ivan BUKIN,Dance,ivan_bukin_,https://www.isuresults.com/bios/isufs00012117.htm,,
